Producto;ProdNombre;Division;Estilo ID;Categoria;Grupo;Marca;UltFecha_EC;SaldoUND_EC;UltFecha_DS;SaldoUND_DS
D090444;USA VESTIDO P/DAMA FIESTA;DS ROPA;DS76929;DS ROPA DAMA;DS VESTIDO FIESTA P/DAMA;DS SEGUNDA ;;0;;3
C124406;CAMISETA P/HOMBRE OVERSIZE M/C;ROPA;09-17647A;CABALLERO;CAMISETA P/HOMBRE OVERSIZE;FOXTHON;;0;46141;2
D048174;USA BLUSA P/DAMA M/L;DS ROPA;DS35319;DS ROPA DAMA;DS BLUSA P/DAMA M/L;DS SEGUNDA ;;0;;1
C167197;ZAPATILLAS P/NIÑO INF DEP BAJAS;CALZADO;6601/HL059;CALZADO INFANTIL P/NIÑO;ZAPATILLAS P/NIÑO INF BAJAS;MINAYA;;0;46083;2
C174756;SET JUGUETE D/BAÑO BAÑERA C;BEBE;W87-57;JUGUETE P/BEBES;JUGUETE D/BAÑO PLASTICO;LATAM;;0;46086;1
D085903;USA BLUMER P/NIÑA;DS INTERIOR;DS72444;DS INTERIOR P/NIÑA;DS BLUMER P/NIÑA;DS SEGUNDA ;;0;;1
C146871;FALDA SHORTS P/DAMA TELA;ROPA;JTY-1605;DAMA;FALDA SHORTS P/DAMA TELA;SALVAJE;;0;46137;5
423275;VESTIDO P/NIÑA JUV M/C FORMAL;ROPA;24-C4461A;JUVENIL NIÑA;VESTIDO P/NIÑA JUV FORMAL;ZAWARY TEEN;;0;45219;1
C154694;PANTUNFLAS P/DAMA;CALZADO;44135-51836;CALZADO P/DAMA;PANTUNFLAS P/DAMA;YIWU LYFHON;;0;46078;1
484731;SET P/BEBE NIÑA DIADEMA+BABERO;BEBE;35216-917-6;ACCESORIOS P/RECIEN NACIDO;SET DIADEMA+ACCESORIOS RECIEN NACIDA;YIWU LYFHON;;0;45648;4
D078988;USA BLUSA P/DAMA S/M;DS ROPA;DS65723;DS ROPA DAMA;DS BLUSA P/DAMA S/M;DS SEGUNDA ;;0;;13
D106333;USA SET FUNDAS P/COJIN;DS HOGAR;DS92635;DS DORMITORIO;DS SET FUNDAS P/COJIN;DS SEGUNDA ;;0;;-5
C146073;JEANS P/NIÑA JUV SKINNY;ROPA;LT/JOY-JNS-JUV-03;JUVENIL NIÑA;JEANS P/NIÑA JUV;JOY;;0;46112;6
C117935;ZAPATILLAS P/NIÑO PRE-JUV DEP;CALZADO;N-05-3550;CALZADO PRE-JUV P/NIÑO;ZAPATILLAS P/NIÑO PRE-JUV BAJAS ;54 FIFTY FOUR;;0;46066;1
C114724;PANTALON P/DAMA CARGO RECTO COLORES ;ROPA;JJZ-1598;DAMA;PANTALON P/DAMA CARGO RECTO COLORES;SALVAJE ;;0;46140;1
D045039;JEANS P/CABALLERO SEMI (GUATE);DS ROPA;;DS ROPA P/CABALLERO;DS JEANS P/CABALLERO;BUFALO;;0;45454;1
